City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Jamestown,US,42.097,-79.2353,71.71,95,20,8.05,few clouds
80,Flin Flon,CA,54.7682,-101.865,67.91,49,100,5.3,overcast clouds
81,Cherskiy,RU,68.75,161.3,62.78,37,6,8.16,clear sky
82,Chapais,CA,49.7834,-74.8492,60.58,98,100,7.49,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,70.56,91,99,5.99,overcast clouds
84,Dudinka,RU,69.4058,86.1778,56.62,81,100,29.04,light rain
85,Klaksvik,FO,62.2266,-6.589,49.12,93,98,20.87,overcast clouds
86,Boffa,GN,10.1667,-14.0333,73.74,95,100,1.61,moderate rain
87,Lagoa,PT,39.05,-27.9833,72.73,91,0,9.91,clear sky
88,Montepuez,MZ,-13.1256,38.9997,60.67,97,13,4.23,few clouds
89,Kapaa,US,22.0752,-159.319,84.52,65,20,14.97,few clouds
90,Bembereke,BJ,10.2283,2.6634,68.76,96,100,3.36,overcast clouds
91,Alofi,NU,-19.0595,-169.9187,75.09,60,79,17.27,broken clouds
92,Yueyang,CN,29.3333,113.0919,87.78,72,96,9.28,overcast clouds
93,Atbasar,KZ,51.8,68.3333,66.76,62,1,3.51,clear sky
94,Tawau,MY,4.2498,117.8871,80.73,85,100,1.99,overcast clouds
95,Kui Buri,TH,12.0828,99.8543,81.73,76,22,0.89,few clouds
96,Egvekinot,RU,66.3167,-179.1667,42.66,62,100,3.02,overcast clouds
97,Cabo San Lucas,MX,22.8909,-109.9124,88.61,75,20,4.61,few clouds
98,Pisco,PE,-13.7,-76.2167,60.85,88,0,6.91,clear sky
99,Bambous Virieux,MU,-20.3428,57.7575,64.65,88,75,3.44,broken clouds
100,Redding,US,40.5865,-122.3917,105.57,14,0,13.8,clear sky
101,Kodiak,US,57.79,-152.4072,54.91,94,100,5.75,mist
102,Mount Gambier,AU,-37.8333,140.7667,55.31,94,100,11.5,overcast clouds
103,Hithadhoo,MV,-0.6,73.0833,81.77,73,96,8.05,overcast clouds
104,Hirara,JP,24.8,125.2833,89.87,66,40,6.91,scattered clouds
105,Asau,RO,46.4333,26.4,65.32,94,97,3.2,overcast clouds
106,Dubbo,AU,-32.25,148.6167,60.93,67,95,6.91,overcast clouds
107,Coahuayana,MX,18.7333,-103.6833,82.92,77,89,4.88,overcast clouds
108,Mareeba,AU,-17.0,145.4333,75.49,68,5,6.55,clear sky
109,Strezhevoy,RU,60.7333,77.5889,54.05,89,12,8.81,few clouds
110,Avarua,CK,-21.2078,-159.775,69.85,78,75,5.75,light rain
111,Padang,ID,-0.9492,100.3543,75.25,95,100,3.71,overcast clouds
112,Namatanai,PG,-3.6667,152.4333,84.83,69,18,8.32,few clouds
113,Tual,ID,-5.6667,132.75,79.9,84,100,18.03,overcast clouds
114,Mackay,AU,-21.15,149.2,73.69,81,93,10.45,overcast clouds
115,Taywarah,AF,33.35,64.4167,61.11,36,11,3.85,few clouds
116,Vaitape,PF,-16.5167,-151.75,78.31,78,5,13.09,light rain
117,Khatassy,RU,61.9036,129.6383,75.18,54,74,3.6,broken clouds
118,Hokitika,NZ,-42.7167,170.9667,52.92,53,100,6.91,overcast clouds
119,College,US,64.8569,-147.8028,74.59,31,40,6.91,scattered clouds
120,Shelburne,CA,44.0787,-80.2041,70.59,98,86,12.06,overcast clouds
121,Hobart,AU,-42.8794,147.3294,56.26,86,40,4.61,scattered clouds
122,El Vigia,VE,8.6219,-71.6506,78.48,80,36,4.56,scattered clouds
123,Kahului,US,20.8947,-156.47,89.62,40,20,23.02,few clouds
124,Qaanaaq,GL,77.484,-69.3632,40.35,93,100,0.85,overcast clouds
125,Batemans Bay,AU,-35.7167,150.1833,61.32,61,81,3.6,broken clouds
126,Panama City,PA,8.9936,-79.5197,79.45,88,40,3.44,scattered clouds
127,Kununurra,AU,-15.7667,128.7333,69.78,32,25,5.75,scattered clouds
128,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,0.0,few clouds
129,Fortuna,US,40.5982,-124.1573,64.92,74,26,1.99,scattered clouds
130,Viedma,AR,-40.8135,-62.9967,46.13,74,100,11.01,overcast clouds
131,Camacha,PT,33.0833,-16.3333,69.22,83,20,6.91,few clouds
132,Mirabad,AF,30.4362,61.8383,91.62,42,100,15.08,overcast clouds
133,Moose Factory,CA,51.2585,-80.6094,59.0,77,75,5.75,haze
134,Bathsheba,BB,13.2167,-59.5167,81.21,91,40,10.36,scattered clouds
135,Pontes E Lacerda,BR,-15.2261,-59.3353,73.8,42,0,1.66,clear sky
136,Smyrna,US,33.884,-84.5144,86.65,71,75,6.91,broken clouds
137,Noumea,NC,-22.2763,166.4572,77.0,99,45,9.28,scattered clouds
138,Esperance,AU,-33.8667,121.9,52.74,62,0,15.77,clear sky
139,Atar,MR,20.5169,-13.0499,93.43,36,5,6.82,clear sky
140,Pedasi,PA,7.5333,-80.0333,77.07,83,100,5.82,overcast clouds
141,Chuy,UY,-33.6971,-53.4616,57.7,98,99,4.97,overcast clouds
142,Salalah,OM,17.0151,54.0924,75.29,94,100,5.75,overcast clouds
143,Thinadhoo,MV,0.5333,72.9333,82.08,72,100,8.84,overcast clouds
144,Gushi,CN,34.6425,109.5843,82.04,63,91,4.27,overcast clouds
145,Qaqortoq,GL,60.7167,-46.0333,48.13,76,100,4.27,overcast clouds
146,Dallas,US,32.7668,-96.7836,99.21,32,20,12.66,few clouds
147,Fuxin,CN,42.0156,121.6589,80.51,74,100,4.56,overcast clouds
148,Yeniseysk,RU,58.4497,92.1703,55.76,99,100,3.38,light rain
149,Zyryanka,RU,65.75,150.85,75.78,30,92,0.65,overcast clouds
150,Acarau,BR,-2.8856,-40.12,79.9,77,99,17.94,overcast clouds
151,Leningradskiy,RU,69.3833,178.4167,35.11,94,100,4.14,overcast clouds
152,Khvastovichi,RU,53.4694,35.0941,61.79,97,100,1.68,light rain
153,Hami,CN,42.8,93.45,87.35,21,100,20.85,overcast clouds
154,Kaitangata,NZ,-46.2817,169.8464,44.04,92,100,6.31,overcast clouds
155,Cerro Largo,BR,-28.1486,-54.7381,67.33,86,5,5.08,clear sky
156,Birjand,IR,32.8663,59.2211,75.67,25,0,4.61,clear sky
157,Peniche,PT,39.3558,-9.3811,66.29,87,0,13.02,clear sky
158,Faanui,PF,-16.4833,-151.75,78.35,78,6,13.02,light rain
159,Santiago,CL,-33.4569,-70.6483,53.55,86,100,2.3,mist
160,Talnakh,RU,69.4865,88.3972,56.21,62,100,29.91,overcast clouds
161,Mercedes,AR,-34.6515,-59.4307,58.78,93,100,11.81,overcast clouds
162,Chara,RU,56.9064,118.2631,75.15,54,7,3.29,clear sky
163,Ugoofaaru,MV,5.6667,73.0,81.36,75,94,10.8,overcast clouds
164,Bangassou,CF,4.7413,22.8184,68.49,98,99,0.6,overcast clouds
165,Hofn,IS,64.2539,-15.2082,50.74,91,100,4.65,overcast clouds
166,Leh,IN,34.1667,77.5833,60.49,67,100,2.42,overcast clouds
167,Bajil,YE,15.0584,43.2851,83.61,61,100,6.64,overcast clouds
168,Najran,SA,17.4924,44.1277,74.05,68,99,6.42,overcast clouds
169,Nalut,LY,30.3333,10.85,78.87,26,0,10.04,clear sky
170,San Andres,CO,12.5847,-81.7006,82.42,78,75,11.5,broken clouds
171,Ostrovnoy,RU,68.0531,39.5131,49.42,91,100,12.26,overcast clouds
